pid,nome,cpu,ram
21620,rstudio,0.0,1.2612321313805093
21621,chrome-sandbox,0.0,0.021506213349620176
21622,rstudio,0.0,1.2552443225592693
21625,rstudio,0.0,0.26550942281514833
21679,rsession,0.0,4.227991808677532
21687,rstudio,0.0,1.5183586218459217
21706,rstudio,0.0,4.027949095641274
21764,rstudio,0.0,1.074811683412572
21870,chrome,0.0,2.420970903241001
21898,bash,0.0,0.07060624568378782
21970,gvfsd-network,0.0,0.11840891944002012
21988,gvfsd-dnssd,0.0,0.11776024015105245
23068,rstudio,0.0,1.3776950129536265
24345,gvfsd-recent,0.0,0.11466653892674514
25329,kworker/1:0-events,0.0,0.0
25581,code,0.0,2.6417713535242244
25583,code,0.0,0.6362046872567453
25584,code,0.0,0.6393981852947399
25602,chrome_crashpad_handler,0.0,0.03892075733805971
25648,code,0.0,0.9220726600641095
25721,code,0.0,1.7248881277718564
25738,code,0.0,1.7363148629390563
25758,code,0.0,1.4579815495650854
27084,chrome,0.0,1.6756882986240014
27413,code,0.0,5.8031348175115465
27432,code,0.0,1.5378688989217952
27448,code,0.0,2.901742053179726
27650,irq/131-mei_me,0.0,0.0
27661,kworker/u16:25-i915,0.0,0.0
27943,gjs,0.0,0.8696294344714162
29104,pet,0.0,0.04575683907564199
29372,bash,0.0,0.0672131540184185
29489,code,0.0,7.904805815359928
29894,psimon,0.0,0.0
30140,bash,0.0,0.06880990303741583
30231,kworker/3:2-events,0.0,0.0
30431,chrome,0.0,3.323134098974488
31138,kworker/0:2-i915-unordered,0.0,0.0
31469,kworker/u16:3-flush-8:16,0.0,0.0
32001,code,0.0,1.0376872687208842
32238,kworker/u17:1-i915_flip,0.0,0.0
32531,code,0.0,1.1081937175909848
33080,kworker/3:0-events,0.0,0.0
33143,kworker/u16:0-events_unbound,0.0,0.0
33177,kworker/u16:1-flush-8:16,0.0,0.0
33390,kworker/2:0-events,0.0,0.0
33412,kworker/0:0-i915-unordered,0.0,0.0
33682,kworker/2:2-events,0.0,0.0
33687,kworker/u17:0-i915_flip,0.0,0.0
33702,kworker/1:1,0.0,0.0
33802,kworker/3:1,0.0,0.0
33803,kworker/2:1,0.0,0.0
33917,chrome,0.0,0.9763621267100184
34046,kworker/0:1-i915-unordered,0.0,0.0
34328,kworker/u17:2-i915_flip,0.0,0.0
34353,kworker/1:2,0.0,0.0
34411,python3,0.0,0.17399574466386436
1,systemd,0.0,0.18686953362953027
2,kthreadd,0.0,0.0
3,pool_workqueue_release,0.0,0.0
4,kworker/R-rcu_gp,0.0,0.0
5,kworker/R-sync_wq,0.0,0.0
6,kworker/R-kvfree_rcu_reclaim,0.0,0.0
7,kworker/R-slub_flushwq,0.0,0.0
